angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(450, 268, 374, 374)",0.0,0.04,0.0,0.92,0.03,0.0
0.01,"(451, 269, 372, 372)",0.0,0.02,0.0,0.95,0.02,0.0
0.0,"(451, 269, 371, 371)",0.0,0.02,0.0,0.96,0.01,0.0
0.0,"(451, 269, 371, 371)",0.0,0.02,0.0,0.96,0.01,0.0
0.0,"(451, 269, 372, 372)",0.0,0.02,0.0,0.97,0.01,0.0
0.01,"(454, 270, 372, 372)",0.0,0.03,0.0,0.94,0.02,0.0
0.01,"(456, 268, 375, 375)",0.0,0.05,0.0,0.91,0.03,0.0
0.02,"(459, 267, 377, 377)",0.0,0.05,0.0,0.9,0.02,0.0
0.02,"(459, 267, 377, 377)",0.0,0.07,0.0,0.87,0.03,0.0
0.01,"(456, 269, 373, 373)",0.0,0.03,0.0,0.95,0.01,0.0
0.01,"(452, 270, 373, 373)",0.0,0.02,0.0,0.96,0.01,0.0
0.02,"(446, 262, 383, 383)",0.0,0.03,0.0,0.92,0.03,0.0
0.03,"(445, 261, 385, 385)",0.0,0.06,0.0,0.85,0.07,0.0
0.03,"(445, 267, 380, 380)",0.0,0.06,0.0,0.87,0.03,0.0
0.02,"(445, 263, 384, 384)",0.0,0.04,0.0,0.92,0.02,0.0
0.0,"(448, 268, 378, 378)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(452, 268, 376, 376)",0.0,0.02,0.0,0.96,0.01,0.0
0.01,"(455, 269, 375, 375)",0.0,0.02,0.0,0.95,0.01,0.0
0.01,"(454, 269, 374, 374)",0.0,0.04,0.0,0.93,0.02,0.0
0.01,"(453, 270, 372, 372)",0.0,0.03,0.0,0.95,0.01,0.0
0.01,"(452, 268, 376, 376)",0.0,0.03,0.0,0.95,0.01,0.0
0.01,"(445, 262, 385, 385)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(448, 268, 379, 379)",0.0,0.01,0.0,0.98,0.0,0.0
