angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.05,"(393, 220, 387, 387)",0.15,0.08,0.29,0.17,0.26,0.0
0.05,"(389, 214, 388, 388)",0.24,0.06,0.36,0.15,0.13,0.01
0.05,"(389, 211, 391, 391)",0.05,0.04,0.4,0.36,0.1,0.01
0.07,"(389, 211, 391, 391)",0.06,0.09,0.29,0.31,0.18,0.01
0.09,"(389, 210, 392, 392)",0.05,0.12,0.29,0.28,0.16,0.01
0.04,"(387, 215, 391, 391)",0.02,0.08,0.34,0.37,0.13,0.01
0.05,"(385, 214, 398, 398)",0.02,0.1,0.3,0.45,0.08,0.01
0.07,"(386, 215, 393, 393)",0.03,0.15,0.26,0.35,0.13,0.02
0.11,"(384, 210, 395, 395)",0.05,0.13,0.28,0.26,0.15,0.01
0.14,"(385, 210, 393, 393)",0.06,0.17,0.27,0.21,0.13,0.02
0.1,"(384, 211, 394, 394)",0.03,0.1,0.34,0.32,0.11,0.01
0.08,"(383, 211, 396, 396)",0.04,0.09,0.36,0.34,0.09,0.01
0.06,"(404, 227, 375, 375)",0.02,0.2,0.17,0.46,0.08,0.02
0.05,"(388, 215, 393, 393)",0.01,0.11,0.31,0.45,0.06,0.01
0.08,"(384, 210, 392, 392)",0.02,0.09,0.37,0.37,0.06,0.01
0.08,"(385, 210, 391, 391)",0.02,0.09,0.39,0.33,0.07,0.02
0.03,"(388, 215, 391, 391)",0.01,0.11,0.32,0.44,0.07,0.01
0.04,"(388, 215, 393, 393)",0.0,0.15,0.28,0.46,0.06,0.01
0.03,"(387, 216, 390, 390)",0.01,0.15,0.27,0.46,0.06,0.01
0.03,"(391, 220, 381, 381)",0.01,0.27,0.11,0.5,0.08,0.02
0.15,"(386, 210, 389, 389)",0.02,0.1,0.08,0.5,0.14,0.01
0.12,"(386, 209, 390, 390)",0.0,0.06,0.11,0.6,0.09,0.01
0.17,"(385, 209, 389, 389)",0.01,0.07,0.08,0.53,0.13,0.01
0.15,"(385, 210, 388, 388)",0.01,0.06,0.08,0.57,0.13,0.01
0.17,"(383, 210, 389, 389)",0.01,0.06,0.1,0.51,0.15,0.01
0.15,"(384, 211, 387, 387)",0.01,0.07,0.08,0.5,0.18,0.01
0.16,"(384, 212, 387, 387)",0.02,0.06,0.13,0.49,0.13,0.01
0.02,"(394, 227, 372, 372)",0.0,0.15,0.06,0.65,0.11,0.0
0.1,"(384, 213, 387, 387)",0.01,0.05,0.16,0.55,0.13,0.01
0.02,"(393, 228, 373, 373)",0.0,0.16,0.05,0.67,0.09,0.01
0.04,"(395, 228, 374, 374)",0.0,0.34,0.05,0.43,0.14,0.01
0.04,"(395, 229, 373, 373)",0.0,0.34,0.07,0.44,0.1,0.01
0.03,"(395, 231, 372, 372)",0.0,0.23,0.07,0.55,0.1,0.01
